,y,y_hat,dummy
2017-07-26,178.0,187.16847476709236,214.61116983791402
2017-07-27,216.0,192.810555071397,214.60472080324115
2017-07-28,243.0,193.04195073260303,214.6049665375132
2017-07-29,167.0,199.96537400484723,214.60996654340553
2017-07-30,176.0,195.44823657133185,214.60158450704225
2017-07-31,213.0,195.52679881910484,214.59478964970955
2017-08-01,234.0,190.3525972884043,214.59450897571278
2017-08-02,180.0,190.21171733122375,214.59792363188456
2017-08-03,229.0,194.65351656230735,214.59183673469389
2017-08-04,304.0,207.54952389802895,214.5943711521548
2017-08-05,309.0,192.8885476273863,214.610094970102
2017-08-06,225.0,210.1094463695673,214.6266924564797
2017-08-07,178.0,204.89366273393915,214.62851617440225
2017-08-08,196.0,182.18363139974826,214.62207769379503
2017-08-09,211.0,195.0830961777385,214.61880492091387
2017-08-10,197.0,198.60721726977204,214.61816903883326
2017-08-11,209.0,206.0227448014155,214.6150737877723
2017-08-12,206.0,195.26133347955792,214.61408747584753
2017-08-13,164.0,186.72703087740157,214.6125746399719
2017-08-14,232.0,195.67160110925053,214.6036874451273
2017-08-15,235.0,204.8053991359315,214.6067415730337
2017-08-16,219.0,195.32728337629516,214.61032122169564
2017-08-17,194.0,201.36041974312667,214.6110916110916
2017-08-18,212.0,213.12848391645073,214.60747499561327
2017-08-19,222.0,206.7536596017122,214.60701754385966
2017-08-20,172.0,187.59866663510994,214.60831433081916
2017-08-21,191.0,199.86123662937027,214.60084180989128
2017-08-22,204.0,206.36051938025633,214.59670348939156
2017-08-23,185.0,203.91951215066007,214.59484572230014
2017-08-24,226.0,201.46910169243614,214.58965819456617
2017-08-25,184.0,206.71611603461474,214.59165790396074
2017-08-26,195.0,207.2273638977657,214.58629752934993
